tag,actual_dist
infoNameVariant,4
initialProvisioningProject,3
initialProvisioningProjectRef,7
initialize,5
inlineSignificantData,8
insertObject,4
insertObjectGroup,3
inspection,4
inspectionDefinition,3
inspectionType,8
installationInfo,6
installationLocation,7
instructionIdent,10
integerValue,1
interchangeability,6
internalRef,1
internet,9
isolateDetectedFault,5
isolatedFault,4
isolatedFaultAlts,3
isolationInfo,6
isolationMainProcedure,5
isolationProcedure,4
isolationProcedureEnd,7
isolationProcedureEndAlts,6
isolationStep,7
isolationStepAlts,6
isolationStepAnswer,8
isolationStepQuestion,8
issueDate,3
issueInfo,3
itemDescr,8
itemIdentData,6
itemNumber,6
itemSeqNumber,4
jobTitle,8
language,3
lastName,8
lcAbilities,6
lcAccessibility,7
lcActualPerformanceStatement,7
lcAge,6
lcAnswerOption,7
lcAnswerOptionContent,8
lcAnswerOptionGroup,6
lcAssessmentComponent,7
lcAssessmentStrategy,6
lcAsset,6
lcAttitude,6
lcAttitudeTowardContent,7
lcAudience,4
lcBrowsers,7
lcCapacity,6
lcCauseAnalysis,4
lcClassroom,7
lcClient,5
lcCompletion,5
lcCourseIdentNumber,5
lcCurrentEntryBehaviors,7
lcData,6
lcDeliveryDate,5
lcDesiredPerformanceStatement,7
lcDownloadTime,7
lcDragAndDrop,5
lcDuration,7
lcEducationLevel,6
lcEntryBehavior,5
lcEnvironmentalFactor,5
lcFeedbackItem,0
lcFileSizeLimitations,7
lcFormativeEvaluation,5
lcGapAnalysis,5
lcGapItem,6
lcGapStatement,7
lcGoalStatement,6
lcGraphicStandards,7
lcHotspot,5
lcHotspotMap,6
lcHumanResourceDevelopment,6
lcImmediatePerformanceCompetence,6
lcIncentives,6
lcInstruction,4
lcInteraction,4
lcInternalFactor,5
lcInterventionDefinition,4
lcInterventionImplementation,4
lcIntro,4
lcItem,8
lcJobCode,6
lcJobDesign,6
lcJobTitle,6
lcJobTransfer,6
lcJtaItem,7
lcKnowledge,6
lcLearningObjectives,5
lcLearningPlan,5
lcLearningPreferences,7
lcLearningStrategy,7
lcLms,7
lcLocalCultureConsiderations,7
lcManagerialSupport,6
lcMasteryScoreCriteria,8
lcMatchTable,6
lcMatching,5
lcMatchingHeader,7
lcMatchingItem,8
lcMatchingPair,7
lcMinimumPassThreshold,8
lcMissionStatement,6
lcModificationDate,5
lcMotives,6
lcMultipleSelect,5
lcNextSteps,4
lcNonLmsItEnvironment,7
lcNonTrainingInterventions,5
lcObjectiveItem,0
lcObjectiveItemGroup,1
lcObjectiveStatement,6
lcOjt,7
lcOrganizationalAnalysis,5
lcOrganizationalCommunication,6
lcOrganizationalDesign,6
lcOrganizationalEnvironmentAnalysis,5
lcOrganizationalImpact,6
lcPaperBasedMaterials,7
lcPerformanceAnalysis,4
lcPerformanceEvaluation,4
lcPerformanceRubric,8
lcPerformanceSupport,6
lcPerformerAnalysis,5
lcPersonalDevelopment,6
lcPhysicalAspectsOfSite,6
lcPlanObjective,7
lcPlanSubject,5
lcPlayers,7
lcPrerequisites,6
lcProfessionalBackground,6
lcProject,4
lcQuestion,6
lcRequiredEntryBehaviors,6
lcRequiredEquipment,7
lcRequiredFacilities,7
lcRequiredFinances,7
lcRequiredPersonnel,7
lcResolution,7
lcResources,4
lcReview,4
lcScoringMethod,8
lcSection,4
lcSecurity,7
lcSequence,8
lcSequenceOption,7
lcSequenceOptionGroup,6
lcSequencing,5
lcSingleSelect,5
lcSkills,6
lcSocialAspectsOfSite,6
lcSpecialFactors,6
lcSummary,4
lcSummativeEvaluation,5
lcTargetAudience,6
lcTechnicalRqmts,6
lcTime,8
lcTrainingComponent,6
lcTrainingInterventions,5
lcTrainingType,7
lcTrueFalse,5
lcValues,6
lcViewers,7
lcVisionStatement,6
lcWorkEnvironmentAnalysis,5
learning,2
learningAssessment,3
learningContent,3
learningOverview,3
learningPlan,3
learningSummary,3
legacyIdent,5
legacyIdentGroup,4
legend,4
length,7
levelledPara,1
levelledParaAlts,0
limit,7
limitRange,8
limitRangeFrom,9
limitRangeTo,9
limitType,5
limitedPartNumber,7
linkuri,2
listItemDefinition,0
listOfChoices,9
localFabricationMaterial,7
locateAndRepair,5
locateAndRepairLruItem,8
locateAndRepairSruItem,9
location,8
locationRcmd,6
locationRcmdSegment,5
logo,3
lom:lom,2
lowestAuthorizedLevel,7
lowestAuthorizedLevelGroup,6
lru,8
lruItem,7
mainProcedure,4
maintAllocation,3
maintAllocationGroup,4
maintFunction,7
maintLevel,5
maintLevelGroup,7
maintPlanning,2
maintQualifier,6
malfunction,2
manufacturerCode,8
markupExample,4
mass,6
material,6
materialSetRef,7
maxDiameter,7
maxHarnessSize,7
maxMountingPositions,6
maxTemperature,7
mediaIdent,2
message,3
messageAlts,2
middleName,8
minDiameter,7
minHarnessSize,7
minTemperature,7
modelName,6
modelVersion,7
modification,6
modificationTitle,7
multimedia,1
multimediaAlts,0
multimediaAltsIdent,5
multimediaIdent,5
multimediaObject,2
name,10
narrativeExample,4
natoStockNumber,7
networkAnalysisCode,9
nextHigherAssy,7
noAnswer,10
noConds,5
noInfo,5
noReferences,4
noSafety,5
noSpares,5
noSupplies,5
noSupportEquips,5
noValue,1
nonContextRule,4
nonContextRules,3
notIllustrated,6
notationName,6
notationRule,5
notationRuleList,4
numberOfCores,6
numberOfPages,6
objectPath,6
objectUse,6
objectValue,6
observedFault,4
observedFaultAlts,3
optionalPart,7
orientation,6
originator,3
otherItems,9
otherPossibleCause,5
outerDiameter,6
outerJacketColor,6
overLengthPartNumber,7
packaging,8
para,1
paraBasic,6
parameter,3
partAndSerialNumber,10
partIdent,6
partKeyword,7
partLocationSegment,5
partNumber,7
partRef,8
partRefGroup,6
partRepository,3
partSegment,5
partSpec,5
partUsage,7
person,5
personCategory,6
personSkill,3
personnel,5
phoneNumber,9
physicalChemicalDescr,6
physicalSecurityPilferageCode,7
placardText,7
pm,0
pmAddress,2
pmAddressItems,3
pmCode,3
pmEntry,3
pmIdent,3
pmRef,1
pmRefAddressItems,2
pmRefGroup,4
pmRefIdent,2
pmStatus,2
pmTitle,3
policyStatement,5
positionOnNextHigherAssy,7
possibleCauseGroup,4
postOfficeBox,9
postalZipCode,9
potentialConnectionsOrder,10
preferredSparePart,7
preliminaryRqmts,3
preparationInfo,9
procedure,2
process,2
processCategory,6
procurementData,6
product,3
productAndModel,4
productAttribute,4
productAttributeList,3
productConfiguration,5
productCrossRefTable,2
productCrossRefTableRef,3
productDefinitionRelationship,4
productIllustration,4
productIntroName,4
productItem,7
productModel,5
productName,5
productSafety,3
productionMaintData,4
prompt,5
province,9
pubMedia,3
publisherLogo,4
pushButton,0
qualityAssurance,3
quantity,10
quantityGroup,11
quantityPerNextHigherAssy,5
quantityPerUnit,8
quantityTolerance,12
quantityValue,12
rack,6
rcmd,6
rcmdQuantity,8
rdf:Description,1
realValue,1
reasonForAmendment,3
reasonForSelection,5
reasonForUpdate,3
receiveByName,1
receiveByPosition,1
receiveValue,1
reducedListItemPara,8
reducedPara,5
reducedRandomList,6
reducedRandomListItem,7
referTo,6
referencedApplicGroup,2
referencedApplicGroupRef,2
refs,5
reinstateObject,4
reinstateObjectGroup,3
relatedTask,5
remarkCode,5
remarks,3
remarksGroup,4
remarksList,3
remarksRefs,7
remedyAction,4
removalOrInstallationQuantity,5
repair,9
replaceObject,4
replaceObjectGroup,3
replacedBy,7
replacementCond,8
repositorySourceDmIdent,3
reqCond,6
reqCondCircuitBreaker,5
reqCondDm,5
reqCondExternalPub,5
reqCondGroup,4
reqCondNoRef,5
reqCondPm,5
reqPersons,4
reqQuantity,6
reqSafety,4
reqSpares,4
reqSupplies,4
reqSupportEquips,4
reqTechInfo,5
reqTechInfoGroup,4
resistance,6
responsiblePartnerCompany,3
restrictedOperationNote,6
restriction,7
restrictionInfo,4
restrictionInstructions,4
retrofit,5
returnedValueName,2
returnedValuePosition,2
room,9
routing,7
row,2
rqmtSource,4
s1000dSchemas,2
safetyCategory,8
safetyInformation,9
safetyRqmts,5
sampling,8
sb,2
sbAccomplishmentInstructions,3
sbAccomplishmentLimit,4
sbAdditionalInfo,3
sbAlteredToPart,10
sbAlteredToPartDescr,11
sbApproval,4
